Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2020†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2020†","Chancroid, Cum 2020†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2020†","Chlamydia trachomatis infection, Cum 2020†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,11,,-,13,,31,,59,,,-,1,,1,,,-,10179,,35543,,259476,,379678,,,TOTAL,20201170,
US RESIDENTS,2020,11,,-,13,,31,,59,,,-,1,,1,,,-,10179,,35473,,259329,,378427,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,67,,124,,653,,784,,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,858,,2440,,8834,,9155,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,6,,13,,1,,,-,1,,1,,,-,1103,,6393,,50269,,65972,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,279,,3775,,14904,,39021,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,244,,1391,,1701,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,576,,2784,,16233,,23382,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,1,,93,,623,,866,,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,2,,1,,,-,,-,0,,,-,,-,10,,712,,4050,,6297,,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,44,,1765,,6301,,17103,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,48,,390,,2737,,3377,,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,2281,,5235,,23043,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,151,,702,,1336,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,247,,1758,,1994,,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,432,,1056,,4969,,7526,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,191,,1500,,7453,,11942,,,NEW ENGLAND,20201102,
